#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1000,Mohawk Mountain,25,7,650,1600,960,107,,Cornwall,6753,41.820199,-73.290138,http://www.mohawkmtn.com,http://en.wikipedia.org/wiki/Mohawk_Mountain_Ski_Area,Connecticut,USA,North America,FALSE
1002,Mount Southington,14,7,425,525,100,51,80,Plantsville,6479,41.58235,-72.92587,http://www.mountsouthington.com/,http://en.wikipedia.org/wiki/Mount_Southington,Connecticut,USA,North America,FALSE
1003,Ski Sundown,15,5,625,1075,450,65,,New Hartford,6057,41.884963,-72.946815,www.skisundown.com,http://en.wikipedia.org/wiki/Ski_Sundown,Connecticut,USA,North America,FALSE
1004,Woodbury,15,1,300,850,550,100,,Woodbury,6798,41.590604,-73.254347,http://www.woodburyskiarea.com,http://en.wikipedia.org/wiki/Woodbury_Ski_Area,Connecticut,USA,North America,FALSE
1025,Baker Mountain,5,1,460,767,540,20,,Bingham,4920,45.084722,-69.905556,http://www.skimaine.com/ski_areas/baker-mountain/,http://en.wikipedia.org/wiki/Baker_Mountain_%28ski_area%29,Maine,USA,North America,FALSE
1026,Big Rock,27,5,920,1590,670,60,,Mars Hill,4758,46.522222,-67.827778,http://www.bigrockmaine.com/,http://en.wikipedia.org/wiki/Big_Rock_%28ski_resort%29,Maine,USA,North America,FALSE
1027,Black Mountain,20,4,1150,2150,1000,48,,Rumford,4276,44.58,-70.6175,http://www.skiblackmountain.org/,http://en.wikipedia.org/wiki/Black_Mountain_of_Maine,Maine,USA,North America,FALSE
1028,Camden Snow Bowl,10,4,850,1000,150,90,70,Camden,4843,44.217216,-69.134667,http://www.camdensnowbowl.com/,http://en.wikipedia.org/wiki/Camden_Snow_Bowl,Maine,USA,North America,FALSE
1029,Eaton Mountain,18,2,620,840,220,130,,Skowhegan,4976,44.768056,-69.619444,http://www.eatonmountain.com,http://en.wikipedia.org/wiki/Eaton_Mountain,Maine,USA,North America,FALSE
1030,Lost Valley,15,2,240,495,255,45,99,Auburn,4210,44.136111,-70.281944,http://www.lostvalleyski.com,http://en.wikipedia.org/wiki/Lost_Valley_Ski_Area,Maine,USA,North America,FALSE
1031,Mount Abram,44,5,1150,1990,940,250,,Greenwood,4255,44.379167,-70.706944,http://www.mtabram.com/,http://en.wikipedia.org/wiki/Mount_Abram_%28ski_resort%29,Maine,USA,North America,FALSE
1032,Powderhouse Hill,3,1,120,240,120,5,,South Berwick,3908,43.236944,-70.802222,http://www.powderhousehill.com/,http://en.wikipedia.org/wiki/Powderhouse_Hill_%28ski_area%29,Maine,USA,North America,FALSE
1033,Saddleback Main,66,5,2000,4120,2460,440,225,Rangeley,4970,44.936667,-70.503056,http://www.saddlebackmaine.com,http://en.wikipedia.org/wiki/Saddleback_Maine_%28ski_resort%29,Maine,USA,North America,FALSE
1034,Shawnee Peak,44,4,1300,1900,600,249,100,Bridgton,4009,44.058333,-70.815278,http://www.shawneepeak.com/,http://en.wikipedia.org/wiki/Shawnee_Peak_Ski_Area,Maine,USA,North America,FALSE
1035,Sugarloaf,153,14,2820,4237,1417,1056,200,Carrabassett Valley,4947,45.031389,-70.313056,http://www.sugarloaf.com,http://en.wikipedia.org/wiki/Sugarloaf_%28ski_resort%29,Maine,USA,North America,FALSE
1036,Sunday River,132,16,2340,3140,800,743,167,Newry,4261,44.469444,-70.861111,http://www.sundayriver.com/,http://en.wikipedia.org/wiki/Sunday_River_%28Maine%29,Maine,USA,North America,FALSE
1037,Titcomb Mountain,16,3,350,750,400,45,85,West Farmington,4992,44.65,-70.170833,http://www.titcombmountain.com/,http://en.wikipedia.org/wiki/Titcomb_Mountain,Maine,USA,North America,FALSE
1050,Berkshire East,45,6,1180,1840,660,400,110,Charlemont,1339,42.620833,-72.876944,http://www.berkshireeast.com/,http://en.wikipedia.org/wiki/Berkshire_East_Ski_Resort,Massachusetts,USA,North America,FALSE
1051,Blandford,22,5,465,1490,1025,158,65,Blandford,1008,42.18885,-72.900768,http://skiblandford.org/,http://en.wikipedia.org/wiki/Blandford_Ski_Area,Massachusetts,USA,North America,FALSE
1052,Blue Hills,12,4,309,635,326,60,,Canton,2021,42.215278,-71.119167,http://www.ski-bluehills.com/,http://en.wikipedia.org/wiki/Blue_Hills_Ski_Area,Massachusetts,USA,North America,FALSE
1053,Bousquet,23,5,750,1875,1125,200,,Pittsfield,1201,42.418071,-73.277482,http://www.bousquets.com/,http://en.wikipedia.org/wiki/Bousquet_Ski_Area,Massachusetts,USA,North America,FALSE
1054,Butternut,22,10,1000,1800,800,110,24,Great Barrington,1230,42.183457,-73.319689,http://www.skibutternut.com/,http://en.wikipedia.org/wiki/Ski_Butternut,Massachusetts,USA,North America,FALSE
1055,Jiminy Peak,45,9,1150,2380,1230,170,100,Hancock,1237,42.555673,-73.289981,http://jiminypeak.com,http://en.wikipedia.org/wiki/Jiminy_Peak_%28ski_area%29,Massachusetts,USA,North America,FALSE
1056,Nashoba Valley,17,9,240,422,194,59,50,Westford,1886,42.541975,-71.444103,http://www.skinashoba.com/,http://en.wikipedia.org/wiki/Nashoba_Valley_Ski_Area,Massachusetts,USA,North America,FALSE
1057,Ski Bradford,13,8,213,272,59,48,,Haverhill,1835,42.744365,-71.055808,skibradford.com,http://en.wikipedia.org/wiki/Ski_Bradford,Massachusetts,USA,North America,FALSE
1058,Ski Ward,9,4,220,410,190,45,,Shrewsbury,1545,42.305556,-71.675,http://skiward.com/,http://en.wikipedia.org/wiki/Ski_Ward,Massachusetts,USA,North America,FALSE
1059,Wachusett Mountain,22,8,1000,2006,1006,108,,Princeton,1541,42.499444,-71.886389,http://www.wachusett.com/,http://en.wikipedia.org/wiki/Wachusett_Mountain_%28ski_area%29,Massachusetts,USA,North America,FALSE
1075,Arrowhead,9,2,430,1020,590,20,,Claremont,3743,43.362778,-72.333333,http://www.arrowheadnh.com/,http://en.wikipedia.org/wiki/Arrowhead_Recreation_Area,New Hampshire,USA,North America,FALSE
1076,Attitash Bear Peak,73,10,1750,2350,600,307,155,Bartlett,3812,44.082222,-71.229722,http://www.attitash.com/,http://en.wikipedia.org/wiki/Attitash_Bear_Peak,New Hampshire,USA,North America,FALSE
1077,Black Mountain,44,4,1100,2350,1250,143,,Jackson,3846,44.168333,-71.164444,http://www.blackmt.com/,http://en.wikipedia.org/wiki/Black_Mountain_Ski_Area_%28New_Hampshire%29,New Hampshire,USA,North America,FALSE
1078,Bretton Woods,102,9,1500,3100,1600,464,200,Bretton Woods,3575,44.259722,-71.462222,http://brettonwoods.com/,http://en.wikipedia.org/wiki/Bretton_Woods_Mountain_Resort,New Hampshire,USA,North America,FALSE
1079,Cannon Mountain,72,10,2180,4080,1900,264,160,Franconia,3580,44.157778,-71.698889,http://www.cannonmt.com/,http://en.wikipedia.org/wiki/Cannon_Mountain_Ski_Area,New Hampshire,USA,North America,FALSE
1080,Cranmore Mountain,54,10,1200,2000,800,200,,North Conway,3860,44.05521,-71.11486,http://www.cranmore.com/,http://en.wikipedia.org/wiki/Cranmore_Mountain_Resort,New Hampshire,USA,North America,FALSE
1081,Crotched Mountain,23,5,875,2066,1191,75,,Bennington,3442,43.012555,-71.879354,http://www.crotchedmountain.com,http://en.wikipedia.org/wiki/Crotched_Mountain,New Hampshire,USA,North America,FALSE
1082,Dartmouth Skiway,30,3,968,1943,975,104,,Lyme Center,3769,43.787834,-72.099593,http://www.dartmouth.edu/~skiway,http://en.wikipedia.org/wiki/Dartmouth_Skiway,New Hampshire,USA,North America,FALSE
1083,Gunstock Mountain,55,8,1400,2300,900,227,,Gilford,3249,43.551779,-71.360832,http://www.gunstock.com/,http://en.wikipedia.org/wiki/Gunstock_Mountain_Resort,New Hampshire,USA,North America,FALSE
1084,King Pine,17,6,350,850,500,45,,East Madison,3849,43.871389,-71.089444,http://www.kingpine.com/,http://en.wikipedia.org/wiki/King_Pine,New Hampshire,USA,North America,FALSE
1085,Loon Mountain,61,12,2100,3050,950,370,200,Lincoln,3251,44.036111,-71.621667,http://www.loonmtn.com/,http://en.wikipedia.org/wiki/Loon_Mountain,New Hampshire,USA,North America,FALSE
1086,McIntyre,10,5,169,465,296,42,,Manchester,3104,43.007346,-71.443795,http://www.mcintyreskiarea.com/,http://en.wikipedia.org/wiki/McIntyre_Ski_Area,New Hampshire,USA,North America,FALSE
1087,Mount Sunapee,66,11,1510,2743,1233,233,100,Newbury,3255,43.339849,-72.071013,http://www.mountsunapee.com,http://en.wikipedia.org/wiki/Mount_Sunapee_Resort,New Hampshire,USA,North America,FALSE
1088,Pats Peak,29,10,710,1400,690,72,,Henniker,3242,43.163333,-71.795833,http://www.patspeak.com/,http://en.wikipedia.org/wiki/Pats_Peak,New Hampshire,USA,North America,FALSE
1089,Ragged Mountain,45,5,1250,2250,1000,220,,Danbury,3230,43.484444,-71.842222,http://www.raggedmountainresort.com/,http://en.wikipedia.org/wiki/Ragged_Mountain_Resort,New Hampshire,USA,North America,FALSE
1090,Tenney Mountain,45,5,1400,2149,749,110,140,Plymouth,3264,43.743972,-71.754287,http://www.americaskiing.com/New-Hampshire/Tenney_Mountain/Resort-Info.php,http://en.wikipedia.org/wiki/Tenney_Mountain_Ski_and_Snowboarding_Area,New Hampshire,USA,North America,FALSE
1091,The Balsams,21,4,1000,2760,1760,87,,Dixville Notch,3576,44.860979,-71.325181,http://thebalsams.com/skiing,http://en.wikipedia.org/wiki/The_Balsams_Grand_Resort_Hotel,New Hampshire,USA,North America,FALSE
1092,Waterville Valley,52,12,2020,4004,1984,220,,Waterville Valley,3215,43.965278,-71.527778,http://www.waterville.com/,http://en.wikipedia.org/wiki/Waterville_Valley_Resort,New Hampshire,USA,North America,FALSE
1093,Whaleback,30,3,700,1800,1100,85,110,Enfield,3748,43.601885,-72.180651,http://www.whaleback.com/,http://en.wikipedia.org/wiki/Whaleback_%28ski_area%29,New Hampshire,USA,North America,FALSE
